Frame Index,Swimmer ID,Activity,BBox,Confidence,Start Time (s),End Time (s)
0,1,Underwater,"[917.990478515625, 857.3297119140625, 1200.163330078125, 914.78125]",1.0,0.0,0.03333333333333333
0,2,Underwater,"[946.4893798828125, 693.4927368164062, 1178.7099609375, 754.735595703125]",0.9943183064460754,0.0,0.03333333333333333
0,3,Underwater,"[1273.1533203125, 278.26220703125, 1408.7861328125, 323.57037353515625]",0.9991870522499084,0.0,0.03333333333333333
0,4,Underwater,"[1185.0927734375, 368.0124206542969, 1331.17333984375, 406.6383361816406]",0.9980326294898987,0.0,0.03333333333333333
0,5,Underwater,"[1110.412841796875, 571.1185302734375, 1297.185546875, 621.8662109375]",0.9999949932098389,0.0,0.03333333333333333
0,6,Underwater,"[1319.4912109375, 217.51808166503906, 1419.38330078125, 252.6778564453125]",0.9990166425704956,0.0,0.03333333333333333
0,7,Underwater,"[1145.8486328125, 449.44866943359375, 1297.0572509765625, 488.3192138671875]",0.9999542236328125,0.0,0.03333333333333333
1,1,Underwater,"[925.12451171875, 854.2203369140625, 1205.0462646484375, 912.3951416015625]",1.0,0.03333333333333333,0.06666666666666667
1,2,Underwater,"[949.7279052734375, 692.519287109375, 1183.5250244140625, 747.9072265625]",0.9968098998069763,0.03333333333333333,0.06666666666666667
1,3,Underwater,"[1265.943115234375, 276.54827880859375, 1393.4677734375, 320.1080627441406]",0.9988304972648621,0.03333333333333333,0.06666666666666667
1,6,Underwater,"[1306.331298828125, 210.0259552001953, 1423.934814453125, 249.86842346191406]",0.9991471767425537,0.03333333333333333,0.06666666666666667
1,4,Underwater,"[1190.9541015625, 362.38543701171875, 1331.56298828125, 398.1854248046875]",0.9994086027145386,0.03333333333333333,0.06666666666666667
1,7,Underwater,"[1136.3914794921875, 445.35003662109375, 1290.0196533203125, 484.95703125]",0.9997506737709045,0.03333333333333333,0.06666666666666667
1,5,Underwater,"[1126.4473876953125, 576.135009765625, 1285.0406494140625, 614.073974609375]",0.9999998807907104,0.03333333333333333,0.06666666666666667
2,1,Underwater,"[925.3764038085938, 853.7913208007812, 1204.66796875, 912.4019165039062]",1.0,0.06666666666666667,0.1
2,2,Underwater,"[949.1321411132812, 692.22900390625, 1183.5634765625, 747.9567260742188]",0.9965392351150513,0.06666666666666667,0.1
2,3,Underwater,"[1265.6875, 276.5693664550781, 1393.45166015625, 320.07904052734375]",0.9988741278648376,0.06666666666666667,0.1
2,6,Underwater,"[1306.1795654296875, 209.97523498535156, 1423.93017578125, 250.0554656982422]",0.9984397292137146,0.06666666666666667,0.1
2,4,Underwater,"[1191.2310791015625, 362.1142578125, 1331.956787109375, 398.257568359375]",0.9991310238838196,0.06666666666666667,0.1
2,7,Underwater,"[1136.9638671875, 445.47747802734375, 1290.196533203125, 485.01800537109375]",0.999772846698761,0.06666666666666667,0.1
2,5,Underwater,"[1127.971923828125, 576.4832153320312, 1285.606689453125, 613.8228759765625]",0.9999998807907104,0.06666666666666667,0.1
3,1,Underwater,"[918.1770629882812, 852.6575317382812, 1205.896484375, 908.0967407226562]",1.0,0.1,0.13333333333333333
3,2,Underwater,"[953.03955078125, 694.1171264648438, 1189.4869384765625, 747.09326171875]",0.9878339767456055,0.1,0.13333333333333333
3,4,Underwater,"[1186.7625732421875, 358.7077331542969, 1336.93359375, 395.9156799316406]",0.9989288449287415,0.1,0.13333333333333333
3,6,Underwater,"[1303.505859375, 208.1094970703125, 1421.638427734375, 247.52236938476562]",0.9997026324272156,0.1,0.13333333333333333
3,3,Underwater,"[1261.8914794921875, 277.053955078125, 1390.510986328125, 316.3802490234375]",0.9990660548210144,0.1,0.13333333333333333
3,7,Underwater,"[1134.93212890625, 440.4044494628906, 1315.990478515625, 480.3520202636719]",0.9997585415840149,0.1,0.13333333333333333
4,1,Underwater,"[906.5571899414062, 845.7813720703125, 1204.40087890625, 907.780517578125]",1.0,0.13333333333333333,0.16666666666666666
4,2,Underwater,"[957.1246948242188, 693.094482421875, 1194.425048828125, 744.2206420898438]",0.9846847057342529,0.13333333333333333,0.16666666666666666
4,3,Underwater,"[1260.23486328125, 272.390625, 1389.6417236328125, 314.4645080566406]",0.9987900853157043,0.13333333333333333,0.16666666666666666
4,4,Underwater,"[1178.40283203125, 358.6168212890625, 1333.004638671875, 399.0926513671875]",0.9957948923110962,0.13333333333333333,0.16666666666666666
4,7,Underwater,"[1154.283447265625, 442.0755615234375, 1341.590576171875, 480.87286376953125]",0.9999697208404541,0.13333333333333333,0.16666666666666666
4,6,Underwater,"[1298.8709716796875, 204.01434326171875, 1414.41845703125, 243.3128662109375]",0.9998043179512024,0.13333333333333333,0.16666666666666666
5,1,Underwater,"[923.0128173828125, 840.28564453125, 1214.131591796875, 904.7034301757812]",1.0,0.16666666666666666,0.2
5,3,Underwater,"[1254.84423828125, 269.518310546875, 1392.04931640625, 313.92254638671875]",0.9974654912948608,0.16666666666666666,0.2
